product_id,sale_id,date
011425,126856600,2020-09-06
011426,126856601,2020-09-07
011426,126856602,2020-09-08
011427,126856603,2020-09-09
011428,126856604,2020-09-10
011429,126856605,2020-09-11
011430,126856606,2020-09-12
011431,126856607,2020-09-13
011432,126856608,2020-09-14
011433,126856609,2020-09-15
011434,126856610,2020-09-16
011435,126856611,2020-09-17
011436,126856612,2020-09-18
011437,126856613,2020-09-19
011438,126856614,2020-09-20
011439,126856615,2020-09-21
011440,126856616,2020-09-22
011441,126856617,2020-09-23
011442,126856618,2020-09-24
011443,126856619,2020-09-25
011444,126856620,2020-09-26
011445,126856621,2020-09-27
011446,126856622,2020-09-28
